"country","city","sum"
"United States","New York",11389
"United States","Sunnyvale",6812
"United States","Mountain View",4712
"United States","Chicago",2953
"United States","Seattle",1961
"United States","San Francisco",1693
"United States","Palo Alto",1110
"United States","San Jose",769
"United States","Pittsburgh",540
"Ireland","Dublin",312
"United Kingdom","London",282
"United States","San Bruno",217
"Chile","Santiago",200
"Canada","Toronto",108
"Israel","Tel Aviv-Yafo",102
"United States","Atlanta",90
"Thailand","Bangkok",75
"Switzerland","Zurich",72
"United States","Ann Arbor",55
"United States","Washington",38
"Colombia","Bogota",34
"United States","Kirkland",31
"United States","Austin",29
"United States","Dallas",21
"United States","Houston",20
"Hong Kong","Hong Kong",19
"France","Paris",18
"Germany","Berlin",13
"Germany","Munich",11
"United States","Detroit",9
"Singapore","Singapore",8
"India","Hyderabad",8
