"country","city","avg"
"United States","Chicago",5
"United States","Pittsburgh",4
"United States","New York",3.82
"United States","Houston",2.5
"Canada","Toronto",2.3333333333333335
"United States","Sunnyvale",2.25609756097561
"United States","Mountain View",1.5576923076923077
"India","Hyderabad",1.5
"United States","Seattle",1.4444444444444444
"United States","San Francisco",1.3636363636363635
"Switzerland","Zurich",1
"Thailand","Bangkok",1
"United Kingdom","London",1
"United States","Ann Arbor",1
"United States","Atlanta",1
"United States","Austin",1
"United States","Dallas",1
"United States","Detroit",1
"United States","Kirkland",1
"United States","Palo Alto",1
"United States","San Bruno",1
"United States","San Jose",1
"United States","Washington",1
"Chile","Santiago",1
"Colombia","Bogota",1
"France","Paris",1
"Germany","Berlin",1
"Germany","Munich",1
"Hong Kong","Hong Kong",1
"Ireland","Dublin",1
"Israel","Tel Aviv-Yafo",1
"Singapore","Singapore",1
