"country","max"
"Denmark","Google Brand Misc"
"Venezuela","Google Brand Misc"
"Paraguay","Google Brand Misc"
"Egypt","Google Brand Misc"
"South Africa","Google Brand Misc"
"Portugal","Google Brand Misc"
"Lithuania","Google Brand Misc"
"New Zealand","Google Brand Misc"
"Sri Lanka","Google Brand Misc"
"China","Google Brand Misc"
"Belgium","Google Brand Misc"
"Saudi Arabia","Google Brand Misc"
"Norway","Google Brand Misc"
"Qatar","Google Brand Misc"
"Uruguay","Google Brand Misc"
"El Salvador","Google Brand Misc"
"France","Youtube Brand Misc"
"Vietnam","Youtube Brand Misc"
"Israel","Youtube Brand Misc"
"Peru","Youtube Brand Misc"
"Malaysia","Youtube Brand Misc"
"Hong Kong","Youtube Brand Misc"
"Japan","Youtube Brand Misc"
"Philippines","Youtube Brand Misc"
"United States","Youtube Brand Misc"
"Turkey","Youtube Brand Misc"
"Switzerland","Youtube Brand Misc"
"Hungary","Youtube Brand Misc"
"Russia","Youtube Brand Misc"
"Pakistan","Youtube Brand Misc"
"Netherlands","Youtube Brand Misc"
"Romania","Youtube Brand Misc"
"Brazil","Youtube Brand Misc"
"Austria","Youtube Brand Misc"
"Australia","Youtube Brand Misc"
"Spain","Youtube Brand Misc"
"Croatia","Youtube Brand Misc"
"United Arab Emirates","Youtube Brand Misc"
"Mexico","Youtube Brand Misc"
"Taiwan","Youtube Brand Misc"
"Poland","Youtube Brand Misc"
"Thailand","Youtube Brand Misc"
"Czechia","Youtube Brand Misc"
"Indonesia","Youtube Brand Misc"
"Italy","Youtube Brand Misc"
"Sweden","Youtube Brand Misc"
"United Kingdom","Youtube Brand Misc"
"Ireland","Youtube Brand Misc"
"Germany","Youtube Brand Misc"
"Singapore","Youtube Brand Misc"
"Canada","Youtube Brand Misc"
"South Korea","Youtube Brand Misc"
"Colombia","Youtube Brand Misc"
"Ukraine","Youtube Brand Misc"
"Argentina","Youtube Brand Misc"
"Greece","Youtube Brand Misc"
"India","Youtube Brand Misc"
"Chile","Youtube Brand Misc"
